t,pose_x,pose_y,pose_z,point_x,point_y,point_z,dx,dy,dz,norm,dt,ux,uy,uz,l,l_err
15.365923794,0.01761542446911335,0.01791047677397728,1.2576402425765991,0.00832852441817522,0.017099076882004738,0.8772984147071838,0.00928690005093813,0.0008113998919725418,0.3803418278694153,0.38045605647615693,7.925000000241766e-06,0.0244099151343649,0.0021327033126712545,0.9996997587374488,0.38045605647615693,-0.0003809125997688012
15.376514453,0.01768745854496956,0.017980042845010757,1.2577311992645264,0.008284551091492176,0.016349872574210167,0.8775113224983215,0.009402907453477383,0.0016301702708005905,0.38021987676620483,0.380339620355017,7.999998885566129e-09,0.02472239795764772,0.004286091123714524,0.9996851666710389,0.380339620355017,-0.0004973487209087302
15.384313146,0.01777837611734867,0.018108345568180084,1.2577821016311646,0.008166976273059845,0.01562526822090149,0.8777592778205872,0.009611399844288826,0.002483077347278595,0.3800228238105774,0.3801524579652807,7.156000000563267e-06,0.025283013809071924,0.006531793482459541,0.999658994300873,0.3801524579652807,-0.0006845111106450474
15.395197049,0.017697902396321297,0.018143700435757637,1.2580326795578003,0.00815647654235363,0.014962312765419483,0.8780074715614319,0.009541425853967667,0.003181387670338154,0.3800252079963684,0.38015828117708916,2.1260000000467016e-06,0.025098561116239326,0.008368587054022816,0.9996499532239342,0.38015828117708916,-0.0006786878988365719
15.404304756,0.017722971737384796,0.018162554129958153,1.2580797672271729,0.008091474883258343,0.014332565478980541,0.8782078623771667,0.009631496854126453,0.0038299886509776115,0.3798719048500061,0.3800132874507019,0.0001472669999991183,0.0253451581094409,0.010078565085633921,0.9996279535338244,0.3800132874507019,-0.0008236816252238377
15.414412312,0.017506198957562447,0.01804443821310997,1.2582273483276367,0.008148941211402416,0.01379557978361845,0.8783935308456421,0.00935725774616003,0.00424885842949152,0.37983381748199463,0.3799728147820935,1.2689000000065676e-05,0.024626124243983673,0.011182006354660271,0.9996341914613587,0.3799728147820935,-0.0008641542938322422
15.424281103,0.017387229949235916,0.01791296899318695,1.2582292556762695,0.008181871846318245,0.013306855224072933,0.8785520195960999,0.009205358102917671,0.0046061137691140175,0.3796772360801697,0.3798167433109471,4.696999999609375e-06,0.024236314657096247,0.012127200420290845,0.999632698575736,0.3798167433109471,-0.0010202257649786217
15.434080637,0.01714070327579975,0.017740273848176003,1.258305549621582,0.008177259005606174,0.012840845622122288,0.8786838054656982,0.008963444270193577,0.004899428226053715,0.3796217441558838,0.3797591557370045,4.706000000354038e-06,0.023602970816590536,0.01290140909583949,0.9996381612423432,0.3797591557370045,-0.001077813338921263
15.444573491,0.017020612955093384,0.01760975643992424,1.258293628692627,0.008150452747941017,0.012467493303120136,0.8788254857063293,0.008870160207152367,0.005142263136804104,0.3794681429862976,0.3796066308084435,-4.745000000028199e-06,0.02336671566632463,0.013546294293786941,0.9996351807083798,0.3796066308084435,-0.001230338267482256
15.456981556,0.016988687217235565,0.017542093992233276,1.2583328485488892,0.008062964305281639,0.012165078893303871,0.8790096640586853,0.008925722911953926,0.005377015098929405,0.37932318449020386,0.37946628191799114,1.410999999507112e-06,0.023521781347315914,0.014169941718541058,0.9996228981740776,0.37946628191799114,-0.0013706871579345914
15.467972185,0.017080405727028847,0.017533468082547188,1.2583075761795044,0.007975796237587929,0.011982451193034649,0.8791232705116272,0.009104609489440918,0.005551016889512539,0.3791843056678772,0.3793342132833433,1.967999999941128e-05,0.024001551061359813,0.014633578240848558,0.9996048138812247,0.3793342132833433,-0.0015027557925824109
